id	nev	kezdeseve	vegzeseve
1623	Gál Zsolt	2008	2012
1624	Nagy Fanni	2021	NULL
1625	Szabó Katalin	2005	2009
1626	Somos Noémi	2021	NULL
1627	Vámos Gábor	2010	2014
1628	Tóth Gyula	2018	2022
1629	Balogh Antal	2009	2013
1630	Kiss Réka	2010	2014
1631	Kiss Viktória	2013	2017
1632	Farkas Fanni	2006	2010
1633	Magyar Mariann	2003	2007
1634	Pécsi Gábor	2012	2016
1635	Fekete Tímea	2008	2012
1636	Torma Lajos	2008	2012
1637	Fekete Nándor	2000	2004
1638	Bencsik Roland	2019	2023
1639	Tóth Tamás	2004	2008
1640	Szilágyi Henrietta	2007	2011
1641	Fehér János	2002	2006
1642	Takács János	2003	2007
1643	Tóth Ádám	2008	2012
1644	Ötvös Zsolt	2001	2005
1645	Magyar Bálint	2007	2011
1646	Vámos Gábor	2011	2015
1647	Töreki Zsófia	2007	2011
1648	Sípos András	2015	2019
1649	Szabó Bence	2003	2007
1650	Németh Dóri	2002	2006
1651	Elek Zoltán	2003	2007
1652	Pataki Nóra	2014	2018
1653	Rácz Kitti	2020	NULL
1654	Magyar Adrienn	2011	2015
1655	Vámos Fanni	2021	NULL
1656	Szabó Adrienn	2014	2018
1657	Torma Antal	2007	2011
1658	Elek Lajos	2009	2013
1659	Gál Aladár	2012	2016
1660	Bencsik Dóri	2021	NULL
1661	Pataki Albert	2004	2008
1662	Németh Attila	2007	2011
1663	Pataki Nóra	2007	2011
1664	Rácz Aladár	2017	2021
1665	Torma Alexandra	2010	2014
1666	Kovács Lajos	2020	NULL
1667	Kis Rudolf	2003	2007
1668	Szakács Ádám	2016	2020
1669	Németh Tímea	2004	2008
1670	Mészáros Margit	2000	2004
1671	Pataki János	2019	2023
1672	Kocsis Réka	2016	2020
1673	Győri Zoltán	2016	2020
1674	Fehér Béla	2004	2008
1675	Balogh Anna	2006	2010
1676	Tóth Nikolett	2006	2010
1677	Nagy Zsolt	2013	2017
1678	Torma Margit	2021	NULL
1679	Pécsi Bálint	2008	2012
1680	Szabó Zsófia	2022	NULL
1681	Vámos Viktória	2014	2018
1682	Mészáros Henrietta	2003	2007
1683	Sípos Gabriella	2006	2010
1684	Kis Bálint	2022	NULL
1685	Németh Bence	2016	2020
1686	Szilágyi Adrienn	2022	NULL
1687	Takács Bence	2003	2007
1688	Szabó Lili	2007	2011
1689	Molnár Katalin	2018	2022
1690	Elek Rebeka	2019	2023
1691	Halász Ilonka	2019	2023
1692	Juhász Noémi	2012	2016
1693	Balogh Béla	2015	2019
1694	Varga Dóri	2004	2008
1695	Molnár Nándor	2001	2005
1696	Kiss Patrik	2001	2005
1697	Pécsi Roland	2014	2018
1698	Németh Rozi	2016	2020
1699	Hujber Nóra	2006	2010
1700	Szilágyi Gabriella	2006	2010
1701	Nagy Luca	2016	2020
1702	Farkas Zsolt	2008	2012
1703	Elek Patrik	2007	2011
1704	Juhász Béla	2004	2008
1705	Balogh Noémi	2000	2004
1706	Tóth Bálint	2015	2019
1707	Takács Attila	2015	2019
1708	Torma Béla	2020	NULL
1709	Varga Kálmán	2020	NULL
1710	Szabó Helga	2001	2005
1711	Mészáros Jenő	2015	2019
1712	Farkas Dóra	2001	2005
1713	Molnár György	2017	2021
1714	Farkas Zoltán	2015	2019
1715	Győri Zsolt	2002	2006
1716	Kiss Attila	2012	2016
1717	Szilágyi Mariann	2003	2007
1718	Magyar Dániel	2016	2020
1719	Németh Helga	2011	2015
1720	Fehér Mariann	2012	2016
1721	Kovács Nikolett	2014	2018
1722	Fekete Tamás	2013	2017
1723	Kovács Zsófia	2000	2004
1724	Molnár Mariann	2022	NULL
1725	Kocsis Nándor	2022	NULL
1726	Somos Fanni	2009	2013
1727	Takács Gergely	2015	2019
1728	Töreki György	2009	2013
1729	Magyar Kitti	2016	2020
1730	Takács Ilonka	2014	2018
1731	Molnár Máté	2000	2004
1732	Sípos Roland	2004	2008
1733	Pataki Lilla	2016	2020
1734	Gál Bálint	2017	2021
1735	Szabó András	2006	2010
1736	Nagy Gábor	2008	2012
1737	Elek Bence	2020	NULL
1738	Kiss Ferenc	2000	2004
1739	Kovács Gabriella	2018	2022
1740	Nagy Ferenc	2010	2014
1741	Fekete Lili	2021	NULL
1742	Pataki Klaudia	2010	2014
1743	Szabó Dóra	2017	2021
1744	Pataki Patrik	2004	2008
1745	Fehér Lajos	2013	2017
1746	Fehér Viktória	2019	2023
1747	Kocsis Albert	2021	NULL
1748	Sípos Alexandra	2021	NULL
1749	Farkas Gabriella	2016	2020
1750	Szabó Aladár	2010	2014
1751	Győri Gyula	2002	2006
1752	Kocsis Ádám	2008	2012
1753	Szilágyi Kitti	2006	2010
1754	Győri Gyula	2013	2017
1755	Torma Barbara	2014	2018
1756	Fekete Antal	2002	2006
1757	Torma Anna	2002	2006
1758	Kiss Dániel	2011	2015
1759	Kis Adrienn	2015	2019
1760	Molnár Attila	2015	2019
1761	Rácz Rudolf	2012	2016
1762	Ötvös Katalin	2020	NULL
1763	Somos Bence	2005	2009
1764	Halász Réka	2008	2012
1765	Kis Henrietta	2015	2019
1766	Töreki Patrik	2009	2013
1767	Tóth Anna	2006	2010
1768	Galambos Zsófia	2017	2021
1769	Szakács Ilonka	2013	2017
1770	Kovács Nóra	2008	2012
1771	Németh Mariann	2017	2021
1772	Mészáros András	2000	2004
1773	Gál János	2017	2021
1774	Molnár Aladár	2002	2006
1775	Kiss Balázs	2018	2022
1776	Magyar Máté	2005	2009
1777	Varga György	2021	NULL
1778	Juhász Balázs	2011	2015
1779	Elek Ádám	2022	NULL
1780	Galambos Lajos	2018	2022
1781	Pécsi Viktória	2010	2014
1782	Fehér Lilla	2009	2013
1783	Magyar Béla	2006	2010
1784	Szakács Petra	2004	2008
1785	Töreki Zsolt	2014	2018
1786	Torma Roland	2008	2012
1787	Tóth Bálint	2012	2016
1788	Torma Anna	2002	2006
1789	Szekeres János	2016	2020
1790	Magyar Mariann	2012	2016
1791	Kiss Zsófia	2010	2014
1792	Nagy Anna	2021	NULL
1793	Molnár Dóra	2016	2020
1794	Varga Gábor	2017	2021
1795	Nagy Barbara	2000	2004
1796	Vámos Margit	2018	2022
1797	Balogh Aladár	2009	2013
1798	Somos Zsolt	2002	2006
1799	Töreki Béla	2010	2014
1800	Kiss Nikolett	2011	2015
1801	Kovács Tímea	2000	2004
1802	Fehér Anna	2001	2005
1803	Szabó János	2008	2012
1804	Kovács Bence	2005	2009
1805	Mészáros József	2007	2011
1806	Szilágyi Albert	2014	2018
1807	Nagy Lili	2000	2004
1808	Takács Lilla	2007	2011
1809	Győri Anna	2000	2004
1810	Kiss Tamás	2021	NULL
1811	Balogh Dániel	2011	2015
1812	Molnár Rebeka	2019	2023
1813	Németh Bálint	2020	NULL
1814	Kis Anna	2009	2013
1815	Fehér Anna	2017	2021
1816	Nagy Henrietta	2022	NULL
1817	Rácz Petra	2006	2010
1818	Galambos Klaudia	2001	2005
1819	Mészáros Margit	2008	2012
1820	Szilágyi Anna	2001	2005
1821	Balogh Rebeka	2007	2011
1822	Elek Anna	2013	2017
1823	Molnár Bálint	2007	2011
1824	Kis Adrienn	2004	2008
1825	Győri Attila	2013	2017
1826	Mészáros Tamás	2004	2008
1827	Balogh Gyula	2006	2010
1828	Torma András	2004	2008
1829	Halász Aladár	2010	2014
1830	Fekete Lilla	2007	2011
1831	Takács Ferenc	2002	2006
1832	Szekeres Viktória	2019	2023
1833	Kocsis Jenő	2022	NULL
1834	Győri István	2007	2011
1835	Somos Lajos	2006	2010
1836	Fekete István	2002	2006
1837	Pécsi Klaudia	2018	2022
1838	Pataki Margit	2018	2022
1839	Szilágyi Jenő	2016	2020
1840	Kiss János	2011	2015
1841	Varga Kitti	2002	2006
1842	Szilágyi Antal	2009	2013
1843	Tóth Noémi	2005	2009
1844	Szakács Henrietta	2001	2005
1845	Varga Ferenc	2003	2007
1846	Takács Nándor	2000	2004
1847	Elek Balázs	2005	2009
1848	Győri Alajos	2017	2021
1849	Gál Rudolf	2011	2015
1850	Kocsis Rudolf	2020	NULL
1851	Nagy Nándor	2012	2016
1852	Kis Gyula	2018	2022
1853	Somos Zsolt	2014	2018
1854	Torma Alexandra	2018	2022
1855	Torma Lilla	2018	2022
1856	Galambos Alajos	2012	2016
1857	Rácz Petra	2000	2004
1858	Tóth Gergely	2018	2022
1859	Juhász Viktória	2015	2019
1860	Hujber Réka	2011	2015
1861	Vámos Tímea	2006	2010
1862	Galambos Ádám	2022	NULL
1863	Farkas Henrietta	2015	2019
1864	Molnár Nóra	2016	2020
1865	Torma Zsolt	2019	2023
1866	Torma Noémi	2018	2022
1867	Gál Dóra	2009	2013
1868	Vámos Eszter	2013	2017
1869	Szakács Rudolf	2004	2008
1870	Galambos Martin	2017	2021
1871	Kocsis Alajos	2000	2004
1872	Kiss Dóri	2004	2008
1873	Kovács Petra	2000	2004
1874	Győri Adrienn	2017	2021
1875	Tóth Rozi	2015	2019
1876	Gál Réka	2019	2023
1877	Pécsi Petra	2021	NULL
1878	Szabó György	2019	2023
1879	Hujber Kálmán	2021	NULL
1880	Kovács Ilonka	2009	2013
1881	Takács Aladár	2016	2020
1882	Farkas Margit	2018	2022
1883	Vámos Albert	2004	2008
1884	Nagy Katalin	2007	2011
1885	Varga Zoltán	2006	2010
1886	Balogh Réka	2011	2015
1887	Molnár Fanni	2016	2020
1888	Németh János	2021	NULL
1889	Pataki Alajos	2006	2010
1890	Molnár Mariann	2013	2017
1891	Sípos Barbara	2006	2010
1892	Szilágyi Nándor	2016	2020
1893	Somos Bence	2022	NULL
1894	Halász Gábor	2019	2023
1895	Takács András	2015	2019
1896	Bencsik Dóri	2007	2011
1897	Galambos Réka	2000	2004
1898	Galambos László	2013	2017
1899	Juhász Dóra	2000	2004
1900	Mészáros Zsuzsanna	2019	2023
1901	Magyar András	2018	2022
1902	Ötvös Kálmán	2014	2018
1903	Szilágyi Patrik	2005	2009
1904	Kis Patrik	2011	2015
1905	Tóth Béla	2002	2006
1906	Szakács Máté	2015	2019
1907	Rácz Tímea	2018	2022
1908	Kis Tímea	2002	2006
1909	Pataki Dóri	2005	2009
1910	Sípos Henrietta	2011	2015
1911	Mészáros Henrietta	2019	2023
1912	Rácz Zsolt	2004	2008
1913	Kovács András	2017	2021
1914	Farkas Krisztina	2018	2022
1915	Somos Mariann	2002	2006
1916	Fehér Bence	2021	NULL
1917	Ötvös Albert	2004	2008
1918	Magyar Alexandra	2002	2006
1919	Balogh Bálint	2008	2012
1920	Takács László	2010	2014
1921	Nagy Rudolf	2003	2007
1922	Nagy Roland	2016	2020
1923	Mészáros Krisztina	2000	2004
1924	Szakács Rebeka	2016	2020
1925	Rácz Lili	2018	2022
1926	Gál István	2011	2015
1927	Németh Nikolett	2016	2020
1928	Tóth Dóri	2004	2008
1929	Kocsis Eszter	2016	2020
1930	Rácz Jenő	2020	NULL
1931	Gál Viktória	2005	2009
1932	Balogh Zsuzsanna	2017	2021
1933	Németh Tímea	2001	2005
1934	Németh Adrienn	2020	NULL
1935	Rácz József	2000	2004
1936	Kiss Attila	2019	2023
1937	Ötvös András	2003	2007
1938	Halász Rebeka	2018	2022
1939	Takács Zsuzsanna	2013	2017
1940	Sípos Jenő	2011	2015
1941	Galambos Lilla	2014	2018
1942	Somos Rebeka	2008	2012
1943	Tóth Ádám	2004	2008
1944	Farkas Helga	2020	NULL
1945	Galambos Roland	2000	2004
1946	Magyar Attila	2015	2019
1947	Fehér Alexandra	2001	2005
1948	Halász Mariann	2005	2009
1949	Hujber Bálint	2012	2016
1950	Farkas Kálmán	2009	2013
1951	Szakács Lilla	2014	2018
1952	Torma Adrienn	2011	2015
1953	Bencsik Balázs	2015	2019
1954	Szekeres Nándor	2015	2019
1955	Varga József	2010	2014
1956	Győri Krisztina	2015	2019
1957	Sípos András	2013	2017
1958	Galambos Viktória	2007	2011
1959	Molnár Zoltán	2005	2009
1960	Takács Krisztina	2010	2014
1961	Szabó Nóra	2002	2006
1962	Nagy Nándor	2021	NULL
1963	Somos Gyula	2005	2009
1964	Galambos Lilla	2014	2018
1965	Bencsik Adrienn	2003	2007
1966	Halász József	2014	2018
1967	Fekete Ilonka	2014	2018
1968	Pécsi Rebeka	2008	2012
1969	Pécsi Barbara	2022	NULL
1970	Pécsi Henrietta	2002	2006
1971	Elek Gabriella	2003	2007
1972	Elek Mariann	2019	2023
1973	Takács Fanni	2006	2010
1974	Farkas Jenő	2013	2017
1975	Győri Ilonka	2015	2019
1976	Fekete Helga	2018	2022
1977	Bencsik Margit	2005	2009
1978	Juhász György	2001	2005
1979	Magyar Tamás	2022	NULL
1980	Németh Attila	2002	2006
1981	Győri Máté	2007	2011
1982	Kovács Luca	2015	2019
1983	Kiss Máté	2011	2015
1984	Rácz Alexandra	2022	NULL
1985	Kovács Tímea	2018	2022
1986	Torma Gabriella	2006	2010
1987	Töreki Adrienn	2013	2017
1988	Molnár Alajos	2017	2021
1989	Szekeres Rebeka	2008	2012
1990	Szekeres Bálint	2011	2015
1991	Kocsis Alexandra	2015	2019
1992	Töreki Fanni	2019	2023
1993	Mészáros Attila	2006	2010
1994	Molnár Margit	2007	2011
1995	Ötvös Lili	2001	2005
1996	Galambos Albert	2006	2010
1997	Elek Katalin	2006	2010
1998	Ötvös Ádám	2010	2014
1999	Bencsik Alexandra	2008	2012
2000	Somos Balázs	2013	2017
2001	Juhász Nóra	2017	2021
2002	Kis Zsolt	2016	2020
2003	Tóth Nikolett	2015	2019
2004	Somos Ilonka	2021	NULL
2005	Kocsis Béla	2009	2013
2006	Tóth Petra	2022	NULL
2007	Farkas Gabriella	2011	2015
2008	Molnár Helga	2013	2017
2009	Tóth Anna	2020	NULL
2010	Fehér Dániel	2001	2005
2011	Pataki János	2013	2017
2012	Töreki Máté	2000	2004
2013	Pécsi Réka	2015	2019
2014	Töreki Viktória	2014	2018
2015	Fekete Ádám	2014	2018
2016	Halász Martin	2014	2018
2017	Töreki György	2019	2023
2018	Fekete Katalin	2013	2017
2019	Nagy Jenő	2017	2021
2020	Juhász Viktória	2014	2018
2021	Torma Bálint	2003	2007
2022	Takács Balázs	2003	2007
2023	Ötvös Gyula	2003	2007
2024	Kovács Nikolett	2014	2018
2025	Rácz András	2011	2015
2026	Ötvös József	2017	2021
2027	Elek Petra	2015	2019
2028	Nagy András	2002	2006
2029	Nagy Henrietta	2004	2008
2030	Somos József	2005	2009
2031	Balogh Ferenc	2015	2019
2032	Szilágyi János	2013	2017
2033	Nagy Tímea	2020	NULL
2034	Galambos Martin	2021	NULL
2035	Pataki Jenő	2002	2006
2036	Győri Dóra	2004	2008
2037	Kocsis Bence	2001	2005
2038	Torma Patrik	2015	2019
2039	Rácz Bence	2012	2016
2040	Farkas Ádám	2005	2009
2041	Kocsis László	2021	NULL
2042	Balogh Ilonka	2022	NULL
2043	Szakács András	2018	2022
2044	Szilágyi Noémi	2010	2014
2045	Ötvös Dóri	2010	2014
2046	Ötvös Attila	2021	NULL
2047	Vámos Petra	2017	2021
2048	Takács Klaudia	2006	2010
2049	Tóth Martin	2020	NULL
2050	Szekeres András	2019	2023
2051	Fehér József	2019	2023
2052	Balogh Barbara	2002	2006
2053	Fekete Zsuzsanna	2018	2022
2054	Vámos Nándor	2016	2020
2055	Szakács Ferenc	2021	NULL
2056	Nagy Gyula	2020	NULL
2057	Rácz Gábor	2013	2017
2058	Takács Alajos	2000	2004
2059	Sípos Zsolt	2004	2008
2060	Somos Mariann	2006	2010
2061	Kocsis Zsófia	2013	2017
2062	Szilágyi Gábor	2019	2023
2063	Kovács Aladár	2003	2007
2064	Mészáros Henrietta	2007	2011
2065	Gál Gyula	2020	NULL
2066	Rácz Lajos	2004	2008
2067	Ötvös Albert	2016	2020
2068	Győri Zsolt	2004	2008
2069	Farkas Nándor	2004	2008
2070	Ötvös Luca	2012	2016
2071	Kis Jenő	2019	2023
2072	Molnár Eszter	2000	2004
2073	Magyar Zsófia	2000	2004
2074	Szilágyi Klaudia	2000	2004
2075	Somos Ilonka	2003	2007
2076	Győri Kitti	2001	2005
2077	Hujber Viktória	2003	2007
2078	Torma Tímea	2017	2021
2079	Bencsik Dániel	2015	2019
2080	Németh Gergely	2017	2021
2081	Szabó Balázs	2020	NULL
2082	Sípos Bence	2001	2005
2083	Farkas Gyula	2009	2013
2084	Fehér Petra	2010	2014
2085	Kovács Nándor	2017	2021
2086	Mészáros Viktória	2012	2016
2087	Juhász Kálmán	2018	2022
2088	Szekeres András	2002	2006
2089	Juhász Gergely	2014	2018
2090	Halász Bence	2003	2007
2091	Ötvös Alexandra	2020	NULL
2092	Somos Ádám	2019	2023
2093	Tóth András	2017	2021
2094	Nagy Gábor	2004	2008
2095	Varga Noémi	2005	2009
2096	Magyar Gyula	2009	2013
2097	Kovács Katalin	2012	2016
2098	Elek Zsolt	2004	2008
2099	Németh Katalin	2011	2015
2100	Bencsik Attila	2015	2019
2101	Magyar József	2000	2004
2102	Kocsis Lili	2005	2009
2103	Gál Nándor	2013	2017
2104	Takács Roland	2018	2022
2105	Kovács Eszter	2011	2015
2106	Halász Adrienn	2018	2022
2107	Fekete Nikolett	2003	2007
2108	Varga Katalin	2009	2013
2109	Vámos Nikolett	2014	2018
2110	Kocsis Klaudia	2019	2023
2111	Győri Ádám	2001	2005
2112	Balogh Máté	2005	2009
2113	Ötvös Aladár	2019	2023
2114	Takács Mariann	2001	2005
2115	Varga György	2021	NULL
2116	Németh Attila	2003	2007
2117	Bencsik Lilla	2022	NULL
2118	Molnár Nóra	2018	2022
2119	Rácz Nikolett	2006	2010
2120	Takács Katalin	2003	2007
2121	Töreki Kálmán	2019	2023
2122	Bencsik Gabriella	2021	NULL
2123	Sípos Lilla	2005	2009
2124	Gál Aladár	2008	2012
2125	Gál Bence	2012	2016
2126	Szakács Béla	2015	2019
2127	Pécsi Gábor	2020	NULL
2128	Szakács Alajos	2004	2008
2129	Varga István	2014	2018
2130	Varga Lilla	2018	2022
2131	Sípos Krisztina	2012	2016
2132	Fehér Ferenc	2018	2022
2133	Szekeres Roland	2021	NULL
2134	Kis Lajos	2002	2006
2135	Szekeres Fanni	2014	2018
2136	Szabó Patrik	2013	2017
2137	Szakács József	2022	NULL
2138	Somos Ilonka	2006	2010
2139	Nagy Lajos	2010	2014
2140	Németh Nikolett	2013	2017
2141	Tóth Eszter	2003	2007
2142	Takács Eszter	2008	2012
2143	Molnár Réka	2005	2009
2144	Töreki Fanni	2004	2008
2145	Pataki András	2022	NULL
2146	Halász Ilonka	2006	2010
2147	Gál Tímea	2021	NULL
2148	Németh Máté	2019	2023
2149	Somos Albert	2016	2020
2150	Bencsik Gábor	2021	NULL
2151	Torma Anna	2002	2006
2152	Tóth Lili	2009	2013
2153	Tóth Kitti	2009	2013
2154	Hujber Tamás	2014	2018
2155	Töreki Attila	2004	2008
2156	Töreki Luca	2004	2008
2157	Balogh Katalin	2019	2023
2158	Pataki Lili	2007	2011
2159	Magyar Balázs	2015	2019
2160	Somos Tímea	2021	NULL
2161	Varga Antal	2014	2018
2162	Kocsis Dániel	2005	2009
2163	Győri Nándor	2009	2013
2164	Fekete Gabriella	2016	2020
2165	Elek Lili	2021	NULL
2166	Galambos Rebeka	2002	2006
2167	Mészáros István	2021	NULL
2168	Hujber Katalin	2002	2006
2169	Tóth Luca	2012	2016
2170	Kovács Tamás	2021	NULL
2171	Gál György	2012	2016
2172	Halász Adrienn	2013	2017
2173	Fekete Alajos	2019	2023
2174	Győri Petra	2007	2011
2175	Juhász Helga	2022	NULL
2176	Szakács Ádám	2001	2005
2177	Hujber Margit	2014	2018
2178	Mészáros Nikolett	2019	2023
2179	Győri Béla	2010	2014
2180	Szilágyi Klaudia	2008	2012
2181	Németh Balázs	2001	2005
2182	Molnár András	2003	2007
2183	Töreki Ferenc	2009	2013
2184	Elek Eszter	2001	2005
2185	Nagy Dóri	2001	2005
2186	Pataki Lili	2006	2010
2187	Fekete Gergely	2006	2010
2188	Szabó Martin	2015	2019
2189	Balogh Lilla	2015	2019
2190	Vámos Rozi	2001	2005
2191	Szakács Dániel	2016	2020
2192	Fekete Petra	2002	2006
2193	Töreki Petra	2020	NULL
2194	Kocsis Alexandra	2014	2018
2195	Nagy Gabriella	2022	NULL
2196	Szabó Zsófia	2009	2013
2197	Somos László	2000	2004
2198	Elek Henrietta	2014	2018
2199	Pataki Rozi	2021	NULL
2200	Németh Dóra	2011	2015
2201	Vámos Gábor	2016	2020
2202	Németh Dániel	2010	2014
2203	Fekete Ilonka	2009	2013
2204	Fehér Klaudia	2019	2023
2205	Töreki Viktória	2008	2012
2206	Kovács Lili	2020	NULL
2207	Győri Anna	2007	2011
2208	Kocsis Fanni	2018	2022
2209	Győri Adrienn	2009	2013
2210	Kiss Rudolf	2016	2020
2211	Sípos Máté	2005	2009
2212	Kovács Bence	2021	NULL
2213	Magyar Jenő	2005	2009
2214	Németh Lajos	2017	2021
2215	Szilágyi Réka	2009	2013
2216	Hujber Dóra	2004	2008
2217	Kis Katalin	2011	2015
2218	Fehér Gergely	2009	2013
2219	Magyar Bence	2021	NULL
2220	Szekeres Patrik	2021	NULL
2221	Szakács Zsuzsanna	2008	2012
2222	Elek Lilla	2016	2020
2223	Győri Ferenc	2004	2008
2224	Molnár Ádám	2007	2011
2225	Fehér András	2004	2008
2226	Kovács Alajos	2017	2021
2227	Töreki Tamás	2001	2005
2228	Ötvös Rebeka	2022	NULL
2229	Elek Anna	2010	2014
2230	Vámos Noémi	2012	2016
2231	Magyar Katalin	2022	NULL
2232	Varga Luca	2009	2013
2233	Kovács Roland	2020	NULL
2234	Németh Petra	2008	2012
2235	Kocsis Krisztina	2013	2017
2236	Balogh Barbara	2001	2005
2237	Halász Nándor	2015	2019
2238	Molnár István	2007	2011
2239	Pécsi Bence	2011	2015
2240	Magyar Martin	2015	2019
2241	Elek Lajos	2004	2008
2242	Szakács Lajos	2018	2022
2243	Somos Balázs	2005	2009
2244	Halász Viktória	2022	NULL
2245	Halász Béla	2007	2011
2246	Töreki Zsolt	2006	2010
2247	Tóth Petra	2013	2017
2248	Kocsis Adrienn	2000	2004
2249	Elek Zsolt	2003	2007
2250	Torma Dóra	2018	2022
2251	Galambos Dóri	2005	2009
2252	Szilágyi Bálint	2009	2013
2253	Halász Henrietta	2000	2004
2254	Nagy János	2014	2018
2255	Halász Eszter	2020	NULL
2256	Gál Alajos	2006	2010
2257	Győri Patrik	2011	2015
2258	Vámos Ferenc	2013	2017
2259	Molnár Rozi	2008	2012
2260	Takács Zoltán	2021	NULL
2261	Győri Gergely	2009	2013
2262	Töreki Rudolf	2014	2018
2263	Pécsi Gyula	2013	2017
2264	Torma Ilonka	2003	2007
2265	Kocsis Rebeka	2018	2022
2266	Kis Dóri	2004	2008
2267	Kis Attila	2004	2008
2268	Mészáros László	2020	NULL
2269	Gál Máté	2019	2023
2270	Hujber Rebeka	2017	2021
2271	Farkas Dóra	2004	2008
2272	Tóth Rebeka	2014	2018
2273	Fehér Krisztina	2010	2014
2274	Kocsis József	2013	2017
2275	Szakács Helga	2021	NULL
2276	Elek László	2010	2014
2277	Galambos Antal	2009	2013
2278	Pataki Katalin	2019	2023
2279	Vámos Dóra	2016	2020
2280	Kocsis Roland	2015	2019
2281	Fehér Gábor	2002	2006
2282	Pataki Kálmán	2007	2011
2283	Torma József	2013	2017
2284	Németh Gábor	2003	2007
2285	Pataki Alexandra	2001	2005
2286	Vámos Bence	2000	2004
2287	Gál Máté	2009	2013
2288	Fehér Gergely	2012	2016
2289	Juhász Zsolt	2000	2004
2290	Torma Zsófia	2020	NULL
2291	Halász Dóri	2008	2012
2292	Balogh Barbara	2002	2006
2293	Molnár Katalin	2015	2019
2294	Kocsis Dániel	2017	2021
2295	Pataki Attila	2006	2010
2296	Szilágyi Lajos	2011	2015
2297	Magyar Dániel	2013	2017
2298	Vámos József	2011	2015
2299	Töreki Balázs	2014	2018
2300	Molnár László	2004	2008
2301	Sípos Barbara	2010	2014
2302	Szabó Rebeka	2008	2012
2303	Kiss Lajos	2007	2011
2304	Hujber Gabriella	2005	2009
2305	Rácz Nóra	2011	2015
2306	Töreki Nóra	2021	NULL
2307	Szekeres Alexandra	2014	2018
2308	Pécsi Máté	2013	2017
2309	Szakács Béla	2010	2014
2310	Kis Nóra	2012	2016
2311	Bencsik Rozi	2012	2016
2312	Molnár Máté	2000	2004
2313	Kovács Viktória	2007	2011
2314	Szabó Luca	2011	2015
2315	Bencsik Adrienn	2001	2005
2316	Rácz Adrienn	2022	NULL
2317	Kiss István	2004	2008
2318	Tóth Zoltán	2013	2017
2319	Kis Gergely	2005	2009
2320	Molnár Martin	2006	2010
2321	Takács Lilla	2015	2019
2322	Varga Bence	2013	2017
2323	Fekete Ilonka	2010	2014
2324	Gál Réka	2018	2022
2325	Pécsi Kitti	2002	2006
2326	Gál Gábor	2012	2016
2327	Szekeres Fanni	2018	2022
2328	Juhász Rudolf	2020	NULL
2329	Gál Ferenc	2002	2006
2330	Juhász Attila	2012	2016
2331	Vámos Petra	2021	NULL
2332	Tóth Aladár	2009	2013
2333	Farkas Lajos	2006	2010
2334	Gál Gergely	2009	2013
2335	Gál Bence	2013	2017
2336	Fekete Patrik	2020	NULL
2337	Győri Réka	2019	2023
2338	Hujber László	2004	2008
2339	Magyar Ferenc	2003	2007
2340	Pécsi Krisztina	2005	2009
2341	Farkas Mariann	2020	NULL
2342	Farkas László	2006	2010
2343	Halász János	2022	NULL
2344	Fehér Aladár	2015	2019
2345	Magyar Ilonka	2002	2006
2346	Németh Rebeka	2021	NULL
2347	Fekete Tamás	2009	2013
2348	Vámos Alajos	2022	NULL
2349	Mészáros Barbara	2013	2017
2350	Szabó Bálint	2011	2015
2351	Galambos András	2017	2021
2352	Fehér Nándor	2008	2012
2353	Fehér Gábor	2015	2019
2354	Kiss Noémi	2002	2006
2355	Nagy Máté	2019	2023
2356	Galambos Dániel	2010	2014
2357	Rácz Albert	2008	2012
2358	Halász Dániel	2020	NULL
2359	Pataki László	2017	2021
2360	Fehér Ferenc	2005	2009
2361	Torma Helga	2010	2014
2362	Fekete Dániel	2010	2014
2363	Mészáros Ilonka	2009	2013
2364	Németh Klaudia	2018	2022
2365	Elek Fanni	2014	2018
2366	Gál Henrietta	2009	2013
2367	Galambos Krisztina	2002	2006
2368	Kiss Zsuzsanna	2016	2020
2369	Fekete Patrik	2003	2007
2370	Németh József	2021	NULL
2371	Szekeres Lajos	2015	2019
2372	Magyar Rozi	2014	2018
2373	Pécsi Petra	2008	2012
2374	Kis Alexandra	2005	2009
2375	Kis Nóra	2003	2007
2376	Elek Klaudia	2016	2020
2377	Kovács Zsuzsanna	2005	2009
2378	Hujber Mariann	2017	2021
2379	Szekeres Anna	2014	2018
2380	Gál István	2007	2011
2381	Elek Bence	2022	NULL
2382	Fehér Adrienn	2009	2013
2383	Gál Nikolett	2008	2012
2384	Hujber Luca	2020	NULL
2385	Nagy Aladár	2007	2011
2386	Pécsi Krisztina	2007	2011
2387	Kis János	2009	2013
2388	Halász Bálint	2014	2018
2389	Elek Zsolt	2002	2006
2390	Szekeres Nándor	2008	2012
2391	Nagy Dániel	2014	2018
2392	Hujber János	2007	2011
2393	Hujber József	2005	2009
2394	Balogh Albert	2011	2015
2395	Mészáros Ferenc	2022	NULL
2396	Varga Adrienn	2006	2010
2397	Pataki Tamás	2010	2014
2398	Torma Zoltán	2008	2012
2399	Nagy Zoltán	2002	2006
2400	Nagy György	2007	2011
2401	Varga Nikolett	2008	2012
2402	Somos Viktória	2022	NULL
2403	Kis Alexandra	2001	2005
2404	Szakács András	2006	2010
2405	Magyar Ilonka	2019	2023
2406	Farkas Zsuzsanna	2002	2006
2407	Szabó Krisztina	2002	2006
2408	Rácz Fanni	2000	2004
